index,model_answer,gold_answer,is_correct
0,2.4126698183646885e-24,2^{99},False
1,2/3,\frac{1}{9},False
2,2,\frac{\sqrt{13}}{2},False
3,1/96,\frac{1}{9},False
4,4,240,False
5,26,72,False
6,1716,924,False
7,1011,20,False
8,210,173,False
9,13,100,False
10,sqrt(5),3+2\sqrt{2},False
11,59049,125,False
12,1/3,\frac{1}{3},True
13,65536,7,False
14,95,4529,False
15,1296,1296,True
16,4,1+\sqrt{3},False
17,2,20\pi,False
18,6,12,False
19,4,12,False
20,66,160,False
21,8,72,False
22,"[1,2,3]","2,3,\frac{3+i\sqrt{3}}{2},\frac{3-i\sqrt{3}}{2}",False
23,2,89,False
24,3,\frac{1+\sqrt{31}}{2},False
25,None,337,False
26,39.75,\frac{737}{39},False
27,13,5\sqrt{2},False
28,None,-\frac{2431}{50},False
29,10,\frac{9\sqrt{30}}{4},False
