index,model_answer,gold_answer,is_correct
0,1,\frac{13}{32},False
1,9,\frac{2025}{4},False
2,108,36,False
3,-1/512,64,False
4,328475,194832,False
5,4/9,\frac{5}{16},False
6,401,930,False
7,48,322,False
8,13,2851,False
9,2,\frac{1}{2026},False
10,1/60,\frac{1}{6},False
11,1/2,\frac{683}{1024},False
12,496/45225,\frac{2}{17},False
13,2036,1088,False
14,4,\frac{138}{55},False
15,16,256,False
16,225,\frac{1507^{2}}{360^{2}},False
17,4480,2240,False
18,0,\frac{9349}{327680},False
19,0,4102652,False
20,49*sqrt(3),14\sqrt{3},False
21,2,\sqrt{3}-1,False
22,3*sqrt(3)/4,\frac{11\sqrt{3}}{4},False
23,sqrt(3)/2,\frac{2\sqrt{39}}{13},False
24,1/2,\frac{12\sqrt{3}+4}{13},False
25,7/4,\frac{31}{7},False
26,10*sqrt(3)/7,\frac{7\sqrt{3}}{3},False
27,10,\frac{97-3\sqrt{1001}}{2},False
28,65/9,\frac{11}{3},False
29,8,9.94,False
30,2,13,False
31,1/2,\frac{11}{4},False
32,4,512,False
33,6,44,False
34,3000,2496,False
35,16,3+\sqrt{2}+\sqrt{3}+\sqrt{6},False
36,1345,648,False
37,10,10+\frac{40\pi}{3},False
38,350,8222,False
0,1,NaN,False
1,18.5,NaN,False
2,27,NaN,False
3,3,NaN,False
4,84640,NaN,False
5,0,NaN,False
6,809,NaN,False
7,179,NaN,False
8,41,NaN,False
9,2,NaN,False
10,1/60,NaN,False
11,1,NaN,False
12,2/187,NaN,False
13,2036,NaN,False
14,3,NaN,False
15,2,NaN,False
16,225,NaN,False
17,0,NaN,False
18,0,NaN,False
19,NaN,NaN,False
20,98*sqrt(3)/3,NaN,False
21,-1 + sqrt(3),NaN,True
22,1/2,NaN,False
23,9*sqrt(3)/28,NaN,False
24,1/3,NaN,False
25,13/2,NaN,False
26,20*sqrt(3)/7,NaN,False
27,10,NaN,False
28,148/33,NaN,False
29,4,NaN,False
30,5,NaN,False
31,5,NaN,False
32,1,NaN,False
33,81,NaN,False
34,400,NaN,False
35,16,NaN,False
36,0,NaN,False
37,32.03808448882819,NaN,False
38,0,NaN,False
39,2,NaN,False
