index,model_answer,gold_answer,is_correct
0,1/633825300114114700748351602688,NaN,False
1,1/3,NaN,False
2,2,NaN,False
3,-55/104,NaN,False
4,94,NaN,False
5,7,NaN,False
6,924,NaN,True
7,2023,NaN,False
8,165,NaN,False
9,24,NaN,False
10,sqrt(5),NaN,False
11,362880,NaN,False
12,1/2,NaN,False
13,65536,NaN,False
14,4608,NaN,False
15,1296,NaN,True
16,2,NaN,False
17,2,NaN,False
18,6,NaN,False
19,6,NaN,False
20,192,NaN,False
21,8,NaN,False
22,NaN,NaN,False
23,11,NaN,False
24,sqrt(5),NaN,False
25,600,NaN,False
26,41,NaN,False
27,26,NaN,False
28,-1/8100,NaN,False
29,12,NaN,False
