index,model_answer,gold_answer,is_correct
0,0.9375,\frac{13}{32},False
1,625,\frac{2025}{4},False
2,27,36,False
3,-512,64,False
4,20,194832,False
5,0,\frac{5}{16},False
6,10,930,False
7,83,322,False
8,127,2851,False
9,2,\frac{1}{2026},False
10,1/6,\frac{1}{6},True
11,1/2,\frac{683}{1024},False
12,2344/6405,\frac{2}{17},False
13,2036,1088,False
14,2,\frac{138}{55},False
15,256,256,True
16,225,\frac{1507^{2}}{360^{2}},False
17,4480,2240,False
18,0,\frac{9349}{327680},False
19,1480951402357481300653545521126698753050660381797415538843394830581518327079245943120261008350094582981880933869781278221212715309885181636212809647590649328582453492775016243539779609671700608444731692948742793696550846387614865188713590357814407409561309129690637158514626136238877258282348733787975049535515848107104858057894899834717727202615972838390931094480318579422147312013273479935797101726710468649103716629653968216120873261395332447965754229487745035263333137891298069812255356466287936321380826689196191850120107145429071719754511021210087312399602234236918921952171974118434564945859132711642224057625595242402119235964291245533201306123262046279616023793060805516987256466877374718238727381924307012721220442041628019948520088101887267311080860598530702557610589003648778999159355748998587349192130771508332643635188681911402326588759364805150148978185074228208731008981526984744318130005477823808692887537933148564802676803187074386432281796173529443,4102652,False
20,7,14\sqrt{3},False
21,1,\sqrt{3}-1,False
22,3*sqrt(3)/4,\frac{11\sqrt{3}}{4},False
23,3*sqrt(3)/14,\frac{2\sqrt{39}}{13},False
24,1/2,\frac{12\sqrt{3}+4}{13},False
25,6,\frac{31}{7},False
26,3,\frac{7\sqrt{3}}{3},False
27,10,\frac{97-3\sqrt{1001}}{2},False
28,10/3,\frac{11}{3},False
29,8,9.94,False
30,3,13,False
31,2,\frac{11}{4},False
32,1,512,False
33,50,44,False
34,600,2496,False
35,4/9,3+\sqrt{2}+\sqrt{3}+\sqrt{6},False
36,1350,648,False
37,10,10+\frac{40\pi}{3},False
38,203.125,8222,False
39,1926243667084634739203147690812942502525097290856569053657671536655703493289225750756096924038107005577607033307665468424208137938409502571528443836358087248839788279968559509024035796546319252657655336760524962441730035462535605201830750366358528761302330842735547127895806782933537114179584526963468216986770292126516600991528330730591092675617705347259421471242773870189847123188284654268637811712275571627971148712543359837388894030588963383698683834864693119003005366606165183170149153573926170079092892562190097447338461713096678175819845507525768121215319760765625810900051503098306187879655114031497216,2024^{4046},False
0,0.6875,\frac{13}{32},False
1,25,\frac{2025}{4},False
2,27,36,False
3,1,64,False
4,25,194832,False
5,1/2,\frac{5}{16},False
6,1620,930,False
7,7,322,False
8,11,2851,False
9,2,\frac{1}{2026},False
10,1/60,\frac{1}{6},False
11,1/11,\frac{683}{1024},False
12,1/561,\frac{2}{17},False
13,4095,1088,False
14,15/11,\frac{138}{55},False
