index,model_answer,gold_answer,is_correct
0,1,4049,False
1,3/2,1/2,False
2,9,\frac{1980}{169},False
3,41,6266942768,False
4,4100049,6,False
5,3,138,False
6,1,248/517,False
7,729,1164,False
8,12.566370614359172,2 \sqrt{3}+\frac{8 \pi}{3},False
9,420,213,False
10,9,14/5,False
11,2025,2112,False
0,1,4049,False
1,1,1/2,False
2,1,\frac{1980}{169},False
3,41,6266942768,False
4,118,6,False
5,10,138,False
6,1/66,248/517,False
7,729,1164,False
8,37.69911184307752,2 \sqrt{3}+\frac{8 \pi}{3},False
9,243,213,False
10,3,14/5,False
11,1025257,2112,False
