index,model_answer,gold_answer,is_correct
0,1.5777218104420236e-30,2^{99},False
1,1/3,\frac{1}{9},False
2,sqrt(3)/2,\frac{\sqrt{13}}{2},False
3,1/9,\frac{1}{9},True
4,48,240,False
5,75,72,False
6,924,924,True
7,2024,20,False
8,110,173,False
9,25,100,False
10,13/3,3+2\sqrt{2},False
11,181440,125,False
12,1/3,\frac{1}{3},True
13,256,7,False
14,4608,4529,False
15,1296,1296,True
16,sqrt(2),1+\sqrt{3},False
17,0,20\pi,False
18,6,12,False
19,12,12,True
20,50,160,False
21,8,72,False
22,"[1,2,3]","2,3,\frac{3+i\sqrt{3}}{2},\frac{3-i\sqrt{3}}{2}",False
23,1,89,False
24,sqrt(5),\frac{1+\sqrt{31}}{2},False
25,727,337,False
26,40.5,\frac{737}{39},False
27,6.5,5\sqrt{2},False
28,0,-\frac{2431}{50},False
29,12,\frac{9\sqrt{30}}{4},False
0,2.4126698183646885e-24,2^{99},False
1,1/9,\frac{1}{9},True
2,sqrt(43),\frac{\sqrt{13}}{2},False
3,1/9,\frac{1}{9},True
4,48,240,False
5,18,72,False
6,924,924,True
7,2025,20,False
8,220,173,False
9,13,100,False
10,2,3+2\sqrt{2},False
11,362880,125,False
12,1/3,\frac{1}{3},True
13,1533272.618577662,7,False
14,4608,4529,False
15,1296,1296,True
16,4,1+\sqrt{3},False
17,0,20\pi,False
18,12,12,True
19,6,12,False
20,192,160,False
21,8,72,False
22,"[2,3]","2,3,\frac{3+i\sqrt{3}}{2},\frac{3-i\sqrt{3}}{2}",False
23,10,89,False
24,2,\frac{1+\sqrt{31}}{2},False
25,1,337,False
26,39.75,\frac{737}{39},False
27,24,5\sqrt{2},False
28,0,-\frac{2431}{50},False
29,14,\frac{9\sqrt{30}}{4},False
