index,model_answer,gold_answer,is_correct
0,49,70,False
1,6972,588,False
2,756,16,False
3,134,117,False
4,18135,279,False
5,416,504,False
6,6,821,False
7,3,77,False
8,6,62,False
9,152,81,False
10,2,259,False
11,78,510,False
12,459,204,False
13,71,60,False
14,515,735,False
15,1100,468,False
16,11,49,False
17,2,82,False
18,317,106,False
19,360,336,False
20,73,293,False
21,49151,237,False
22,960,610,False
23,20,149,False
24,880,907,False
25,479001600,113,False
26,26,19,False
27,36,248,False
28,56,104,False
29,185,240,False
0,70,70,True
1,736,588,False
2,15,16,False
3,34,117,False
4,2025,279,False
5,504,504,True
6,1171,821,False
7,67,77,False
8,16,62,False
9,114,81,False
10,2,259,False
11,1877,510,False
12,379,204,False
13,43,60,False
14,441,735,False
15,None,468,False
16,1,49,False
17,2,82,False
18,1987,106,False
19,156,336,False
20,73,293,False
21,40959,237,False
22,1,610,False
23,14,149,False
24,256,907,False
25,680261259363840000,113,False
26,18,19,False
27,3,248,False
28,49,104,False
29,188,240,False
0,73,70,False
1,864,588,False
2,284,16,False
3,42,117,False
4,3015,279,False
5,1152,504,False
6,7,821,False
7,6,77,False
8,6,62,False
9,132,81,False
10,3,259,False
11,153,510,False
12,379,204,False
13,87,60,False
14,154,735,False
15,310,468,False
16,36,49,False
17,16,82,False
18,193,106,False
19,912,336,False
20,98,293,False
21,129,237,False
22,726,610,False
23,19,149,False
24,536,907,False
25,479001600,113,False
26,1337,19,False
27,784,248,False
28,98,104,False
29,164,240,False
0,70,70,True
1,576,588,False
2,512,16,False
3,34,117,False
4,-2021,279,False
5,576,504,False
6,53,821,False
7,21,77,False
8,52,62,False
9,127,81,False
10,2,259,False
11,128,510,False
12,17902,204,False
13,93,60,False
14,323,735,False
15,110,468,False
16,10,49,False
17,16,82,False
18,22,106,False
19,360,336,False
20,73,293,False
21,49150,237,False
22,967,610,False
23,18,149,False
24,768,907,False
25,132330,113,False
26,147,19,False
27,36,248,False
28,144,104,False
29,188,240,False
