index,model_answer,gold_answer,is_correct
0,147,70,False
1,576,588,False
2,764,16,False
3,168,117,False
4,825,279,False
5,306,504,False
6,3,821,False
7,17,77,False
8,19,62,False
9,31,81,False
10,2,259,False
11,153,510,False
12,107,204,False
13,67,60,False
14,147,735,False
15,480,468,False
16,3,49,False
17,8,82,False
18,184,106,False
19,312,336,False
20,73,293,False
21,65525,237,False
22,682,610,False
23,10,149,False
24,9,907,False
25,10626000,113,False
26,6,19,False
27,3,248,False
28,147,104,False
29,198,240,False
0,49,70,False
1,432,588,False
2,252,16,False
3,168,117,False
4,[],279,False
5,576,504,False
6,101,821,False
7,1,77,False
8,20,62,False
9,57,81,False
10,2,259,False
11,303,510,False
12,379,204,False
13,42,60,False
14,207,735,False
15,804,468,False
16,1,49,False
17,16,82,False
18,95,106,False
19,312,336,False
20,41,293,False
21,32769,237,False
22,800,610,False
23,24,149,False
24,256,907,False
25,1,113,False
26,54,19,False
27,36,248,False
28,280,104,False
29,231,240,False
