index,model_answer,gold_answer,is_correct
0,1,\frac{13}{32},False
1,25,\frac{2025}{4},False
2,0,36,False
3,-1/512,64,False
4,91315,194832,False
5,1/3,\frac{5}{16},False
6,810,930,False
7,5,322,False
8,23,2851,False
9,2,\frac{1}{2026},False
10,1/12,\frac{1}{6},False
11,1/2,\frac{683}{1024},False
12,1/17,\frac{2}{17},False
13,223,1088,False
14,1/3,\frac{138}{55},False
15,16,256,False
16,225,\frac{1507^{2}}{360^{2}},False
17,4,2240,False
18,0,\frac{9349}{327680},False
19,0,4102652,False
20,49*sqrt(3)/2,14\sqrt{3},False
21,1,\sqrt{3}-1,False
22,1/2,\frac{11\sqrt{3}}{4},False
23,7/13,\frac{2\sqrt{39}}{13},False
24,1/2,\frac{12\sqrt{3}+4}{13},False
25,7/4,\frac{31}{7},False
26,3,\frac{7\sqrt{3}}{3},False
27,10,\frac{97-3\sqrt{1001}}{2},False
28,65/9,\frac{11}{3},False
29,8,9.94,False
30,10,13,False
31,2,\frac{11}{4},False
32,6,512,False
33,40,44,False
34,200,2496,False
35,1/2 + sqrt(5)/2,3+\sqrt{2}+\sqrt{3}+\sqrt{6},False
36,2697,648,False
37,10,10+\frac{40\pi}{3},False
38,293.75,8222,False
39,2,2024^{4046},False
0,5/8,\frac{13}{32},False
1,4,\frac{2025}{4},False
2,216,36,False
3,4096,64,False
4,114752,194832,False
5,1/2,\frac{5}{16},False
6,368,930,False
7,9,322,False
8,509,2851,False
9,1,\frac{1}{2026},False
10,1/12,\frac{1}{6},False
11,1023/1024,\frac{683}{1024},False
12,24/143,\frac{2}{17},False
13,2047,1088,False
14,3,\frac{138}{55},False
15,16,256,False
16,2,\frac{1507^{2}}{360^{2}},False
17,1,2240,False
18,0,\frac{9349}{327680},False
19,1480951402357481300653545521126698753050660381797415538843394830581518327079245943120261008350094582981880933869781278221212715309885181636212809647590649328582453492775016243539779609671700608444731692948742793696550846387614865188713590357814407409561309129690637158514626136238877258282348733787975049535515848107104858057894899834717727202615972838390931094480318579422147312013273479935797101726710468649103716629653968216120873261395332447965754229487745035263333137891298069812255356466287936321380826689196191850120107145429071719754511021210087312399602234236918921952171974118434564945859132711642224057625595242402119235964291245533201306123262046279616023793060805516987256466877374718238727381924307012721220442041628019948520088101887267311080860598530702557610589003648778999159355748998587349192130771508332643635188681911402326588759364805150148978185074228208731008981526984744318130005477823808692887537933148564802676803187074386432281796173529443,4102652,False
20,49*sqrt(3),14\sqrt{3},False
21,1,\sqrt{3}-1,False
22,1,\frac{11\sqrt{3}}{4},False
23,sqrt(3)/4,\frac{2\sqrt{39}}{13},False
24,1/2,\frac{12\sqrt{3}+4}{13},False
25,3,\frac{31}{7},False
26,3,\frac{7\sqrt{3}}{3},False
27,5,\frac{97-3\sqrt{1001}}{2},False
28,20/3,\frac{11}{3},False
29,8,9.94,False
30,16,13,False
31,5/2,\frac{11}{4},False
32,2,512,False
33,33,44,False
34,9800,2496,False
35,1/4,3+\sqrt{2}+\sqrt{3}+\sqrt{6},False
36,1349,648,False
37,10,10+\frac{40\pi}{3},False
38,420,8222,False
39,2,2024^{4046},False
