index,model_answer,gold_answer,is_correct
0,5/3,3,False
1,12,12,True
2,144,1296,False
3,2025,31,False
4,0,21,False
5,20,81920,False
6,50,1305,False
7,None,200,False
8,-1/10,1/91,False
9,4032,372,False
10,100,79,False
11,15,5,False
12,12,36,False
13,10051,99774,False
14,1,495,False
15,18.84955592153876,5\pi + 6\sqrt{3},False
16,4290,7350,False
17,5.5,8.5,False
18,1,91/6,False
19,1,\frac{sqrt{7} + 1}{2},False
20,2,238,False
21,None,855,False
22,sqrt(2),\sqrt{3} - 1,False
23,45,3069,False
24,245,175,False
25,110,96-10\sqrt{21},False
26,119,5940,False
27,2,254,False
28,8.33,199/8,False
29,1/2,\frac{3\sqrt{5}}{7},False
0,1,3,False
1,12,12,True
2,6,1296,False
3,449,31,False
4,19,21,False
5,10,81920,False
6,42,1305,False
7,90,200,False
8,1,1/91,False
9,4096,372,False
10,75,79,False
11,0,5,False
12,36,36,True
13,None,99774,False
14,179400,495,False
15,6*sqrt(3),5\pi + 6\sqrt{3},False
16,12,7350,False
17,16,8.5,False
18,9,91/6,False
19,1/3,\frac{sqrt{7} + 1}{2},False
20,1,238,False
21,255,855,False
22,1,\sqrt{3} - 1,False
23,148277777,3069,False
24,468.25,175,False
25,103.375,96-10\sqrt{21},False
26,13924,5940,False
27,3628800,254,False
28,7,199/8,False
29,3/4,\frac{3\sqrt{5}}{7},False
